1466606560,55,1,釧路市場,H28.3.14,2.3,656,,H30.2.22,H30.4.5,H30.7.19,105,H30.4.15,H29.7.6,7,3.4,12.7,274,96,36,10,5.7,51,147,263,435.9
1466606560,55,1,釧路市場,H28.3.14,2.6,656,,H30.2.22,H30.4.5,H30.10.18,196,H30.4.15,H29.7.6,7.5,3.3,10.2,447,85,38,10.6,6,65,37,,
1483811640,65,1,標津町農協,2016/05/05,1.9,1164,A,H30.2.26,H30.4.5,H30.3.26,-10,H30.4.4,H29.6.25,5.6,3.6,9.9,48,58,23,10.4,6.2,73,91,226,532.7
1483811640,65,1,標津町農協,H28.5.5,2,1164,,H30.2.26,H30.4.5,H30.5.17,42,H30.4.4,H29.6.25,7.1,3.9,8.8,236,78,45,11.5,4.8,63,145,816,543.8
1483811640,65,1,標津町農協,H28.5.5,2.2,1164,,H30.2.26,H30.4.5,H30.7.19,105,H30.4.4,H29.6.25,7.3,3.8,13.2,215,98,49,10.8,3.8,58,138,398,318.2
1483811640,65,1,標津町農協,H28.5.5,2.4,1164,,H30.2.26,2018/04/05,H30.9.20,168,H30.4.4,H29.6.25,7.6,3.6,8.8,265,180,136,10.8,4.6,69,52,242,421.1
1483811640,65,1,標津町農協,H28.5.5,2.5,1164,,H30.2.26,2018/04/05,H30.10.18,196,H30.4.4,H29.6.25,8.5,4.2,10.9,388,159,152,11.7,2.6,68,62,,
1505910276,10,1,道東あさひ上春別支所,H28.3.30,2.2,1027,,H30.2.15,H30.3.20,H30.6.21,93,H30.3.31,H29.6.21,7.9,4.1,11,220,95,30,11.1,6.4,54,122,162,357.3
1514410071,76,1,標津町農協,H28.5.7,2.3,1007,,H30.2.26,H30.4.9,H30.8.16,129,H30.4.11,H29.7.2,8,3.7,15.5,289,79,38,10.2,6.9,61,101,117,446.5
1514410118,63,1,標津町農協,2016/05/19,1.9,1011,A,H30.2.26,H30.4.19,H30.3.26,-24,H30.4.27,H29.7.18,6.9,3.8,12,93,71,22,11.6,4.7,85,126,105.8,468.6
1514410118,63,1,標津町農協,H28.5.19,2,1011,,H30.2.26,H30.4.19,H30.5.17,28,H30.4.27,H29.7.18,6.5,3.4,8.1,180,71,31,10.7,6.5,59,149,513,504.3
1514410118,63,1,標津町農協,H28.5.19,2.2,1011,,H30.2.26,H30.4.19,H30.7.19,91,H30.4.27,H29.7.18,7,3.8,14,247,76,35,11.3,7.2,58,146,341,256.6
1514410118,63,1,標津町農協,H28.5.19,2.3,1011,,H30.2.26,2018/04/19,H30.9.20,154,H30.4.27,H29.7.18,7.7,3.7,13.6,311,89,39,11.1,6.7,68,70,216,303.9
1514410118,63,1,標津町農協,H28.5.19,2.4,1011,,H30.2.26,2018/04/19,H30.10.18,182,H30.4.27,H29.7.18,7.8,3.6,11.8,345,107,37,10.8,4.6,64,46,,
1399917832,148,2,標茶町農協,H28.5.31,2.1,1783,,H30.3.27,H30.4.22,H30.7.19,88,H30.5.7,H29.7.28,7.4,3.6,15.3,328,79,29,9.4,8,43,189,305,661.7
